objectId,ra,dec,gmag,rmag,maggmean,magrmean,g_minus_r,clr_mean,dmdt_g,dmdt_r,distpsnr1,sgmag1,brightening_g,brightening_r,last_alert,classification,classificationReliability,catalogue_table_name,association_type,separationArcsec,description
ZTF23aadbbxb,215.5306962375,86.0306666875,17.9969,18.0689,18.2173,18.9216,-0.0720043,-0.7042999267578125,0.00137558,0.099564,13.4726,16.9271,1.0698013305664062,1.6807994842529297,20.26042820001021,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF23aaicjvx,251.45694803571425,15.34228410714286,21.1947,20.5948,21.0644,20.5191,0.4611,0.5452995300292969,0.00371336,-0.0133935,7.04102,18.4563,2.7383995056152344,2.5811004638671875,20.253020799718797,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF23aahoblu,253.13047319230768,6.680153376923077,20.3836,20.5457,20.3119,20.3829,-0.1621,-0.07100105285644531,0.0142021,-0.0805282,6.22882,21.419,-1.035400390625,-0.4430999755859375,20.251597200054675,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF20abhgspc,289.28679514,39.9964715,20.6328,20.5498,20.6586,20.5509,-0.00800133,0.10770034790039062,0.00516285,-0.0293104,2.699,18.6013,2.0314998626708984,2.371000289916992,20.241550900042057,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF18aagrcep,233.45610503333333,37.990968966666664,14.088,15.364,14.088,15.4702,,-1.3821992874145508,,0.0422855,0.68021,13.041,1.0469999313354492,1.9270000457763672,19.300393499899656,CV,1,NED/SDSS/RITTER/GAIA/PS1,CV,0.63,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=2MASSJ15334944%2B3759282&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">2MASSJ15334944%2B3759282</a></em>; a G=12.98 mag CV found in the NED/SDSS/RITTER/GAIA/PS1 catalogues. Its located 0.6"" from the CV core."
ZTF22aakyxse,231.4138622,18.704881633333333,20.4887,20.4092,20.5102,20.4092,,0.10099983215332031,0.00203781,,2.95841,17.5956,2.8931007385253906,3.5216007232666016,19.25030090007931,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF23aajtpbr,320.67514058,10.26536458,20.1424,20.1938,20.2899,20.2205,-0.051403,0.06939888000488281,0.0224181,0.0176102,19.2301,22.0926,-1.9501991271972656,-1.8941993713378906,19.18942129984498,UNCLEAR,3,PS1,UNCLEAR,0.19,"The transient is possibly associated with <em>120313206753468760</em>; an r=22.84 mag uncertain found in the PS1 catalogue. Its located 0.19"" N, 0.02"" E from the uncertain centre."
ZTF23aajhsfi,149.62857350000002,23.55313625,20.1004,20.3641,20.2321,20.3909,-0.263708,-0.1588001251220703,0.132652,0.0089894,12.9137,-999.0,1019.1004009246826,1019.3640995025635,18.43780090007931,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF23aadpbom,206.49480151000003,12.61390775,20.3329,21.023,20.4639,20.8657,-0.690065,-0.40180015563964844,0.0685548,-0.0148676,7.53218,21.4551,-1.1222000122070312,-0.09189987182617188,18.32715279981494,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF23aaklqcr,190.81355349999998,63.616664271428576,20.5754,20.7437,20.6591,20.541,,0.11809921264648438,0.00617649,-0.214863,26.8832,-999.0,1019.5753993988037,-0.9776992797851562,18.32357640005648,UNCLEAR,3,PS1,UNCLEAR,0.22,"The transient is possibly associated with <em>184341908136580539</em>; an r=22.81 mag uncertain found in the PS1 catalogue. Its located 0.04"" N, 0.21"" W from the uncertain centre."
