oid_ztf,ra,dec,ra_error,dec_error,parallax,parallax_error,pm,pmra_error,pmdec_error,nu_eff_used_in_astrometry,astrometric_sigma5d_max,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,bp_g,g_rp,l,b,ecl_lon,ecl_lat,distance,absmag_g,absmag_bp,absmag_rp
ZTF20aauomtp,266.087,-0.055611111,0.6295433,0.49699396,3.242780628792049,0.7619216,13.905126,0.84787804,0.5876612,,1.3248258,244.0,135.96398025205556,2.738988,20.353807,29.0,90.35299527862124,11.683069,20.448687,27.0,86.51137922870181,10.596488,19.905212,0.5434742,0.09487915,0.44859505,25.055951361730063,14.855516429687187,265.7381165107148,23.325732461234324,308.37732010644976,12.908395299508719,13.003274449899344,12.459800252511648
ZTF19abghygk,314.7602083,31.31638889,0.45494977,0.8249382,0.8699259319463977,0.72037745,6.497646,0.74448264,1.3605987,,1.9910232,163.0,169.70495646526945,11.311681,20.11313,13.0,124.29944716101895,32.084747,20.10237,15.0,128.61706037018237,26.438063,19.47465,0.6277199,-0.010761261,0.63848114,75.59657324831515,-9.485039660093062,329.82191019694176,45.903546903786875,1149.5231528074705,9.810541954871,9.799780693884673,9.172060814734282
ZTF20acgtmyl,290.48975,24.99377778,0.08644809,0.12384947,0.1940212733509991,0.16488436,19.017637,0.11611051,0.16446778,1.4195591,0.22993724,598.0,565.5792980296491,1.4466331,18.806133,63.0,219.93644077577062,6.336322,19.4828,60.0,488.5551820683723,6.293848,18.025612,1.4571877,0.67666626,0.7805214,58.55810927290055,4.907991559298699,297.4447986490012,46.49976013291834,5154.073997808089,5.245380022812615,5.92204628257824,4.464858629990349
ZTF21aatigej,98.03345833,6.63725,0.5120514,0.63294744,-0.9896141791748669,0.7634694,1.4839814,0.5541676,0.49515504,1.4925736,0.9801915,161.0,276.6225237018181,6.8722935,19.582647,16.0,141.65809600785602,18.45312,19.960438,16.0,255.64374244937272,16.325619,18.728807,1.2316303,0.37779045,0.8538399,204.82587772939374,-1.2416486921186505,98.32741149636614,-16.570099254880347,-1010.4948181257797,,,
ZTF18aazwgov,331.5900417,51.06336111,0.3971026,0.41114235,-0.03550317077189319,0.50721455,4.874832,0.6755563,0.63602567,,1.0803697,293.0,150.33872014180213,2.046294,20.24469,18.0,61.1663978785047,6.775456,20.87226,19.0,165.10792831623584,13.615933,19.203476,1.6687832,0.6275692,1.041214,98.38543465222376,-3.767797670497615,3.6305549103475045,56.36608151940516,-28166.498322782776,,,
ZTF18abgzyln,21.32608333,60.57247222,0.15853457,0.23092335,0.24358401390505796,0.2778808,6.595614,0.20425782,0.27635756,,0.40734348,527.0,309.99186739395174,4.813462,19.458992,62.0,156.74465080586964,9.8606415,19.850561,64.0,256.08715363962096,12.336359,18.726927,1.1236343,0.39156914,0.7320652,127.0828754417653,-2.0260684353635594,48.1167753050329,46.721549293400045,4105.359723605553,6.392235918028057,6.783805055601299,5.6601707172223925
ZTF18abvbgny,295.5815417,-8.503666667,0.09586379,0.0746288,0.41332838349985607,0.093886934,5.354806,0.13346007,0.09634997,1.6540543,0.19770044,224.0,1820.8188386198512,23.09895,17.5367,23.0,1188.0525650307218,44.18396,17.651453,24.0,1039.944618909901,37.5344,17.20537,0.44608307,0.11475372,0.33132935,31.014817858105776,-15.145292462787495,295.95657863931064,12.660199048698399,2419.3838118072244,5.618175442842649,5.73292916598718,5.286846097139524
ZTF18abgjmhq,307.089375,51.65955556,0.027983306,0.034544557,0.515764670182749,0.030110996,1.8367512,0.040345233,0.047512047,1.5554823,0.069393024,352.0,6581.2449455200385,292.19833,16.141596,33.0,3751.3931804873364,558.11664,16.40306,32.0,4548.996451796711,496.10724,15.6031065,0.7999544,0.26146507,0.53848934,88.13930326584025,7.531355118807372,339.2126742382577,66.4126786083847,1938.8687473410573,4.703853788961734,4.96531886159357,4.165364447225894
ZTF18adkcxll,288.4772083,12.30088889,0.018587245,0.01532484,2.2437589768192474,0.021401208,6.8616443,0.020719176,0.01702616,,0.031107815,522.0,35851.18397718699,441.4044,14.301108,58.0,21572.443909295027,773.9604,14.503794,59.0,22354.501052902473,829.364,13.874483,0.6293106,0.20268536,0.42662525,46.419608283466616,0.688924265455302,292.02471695972866,34.33811139085347,445.6806681694484,6.055989377535404,6.258674733675541,5.629364125765385
ZTF17aaawgmm,303.739625,45.87211111,0.032143544,0.02754655,0.9737653352567438,0.034418367,4.281466,0.0491641,0.038192365,1.5062516,0.06846991,255.0,3891.291555658579,70.40695,16.712132,29.0,1745.4098616574022,128.22787,17.233799,29.0,3388.3010642539202,207.0681,15.92294,1.3108587,0.5216675,0.78919125,82.06881768322098,6.11023659531998,327.5709422957095,62.73114405037435,1026.9414650464419,6.654403051156564,7.176070531625314,5.865211805123849
